Year,Month,Day,City_encoded,State_encoded,Store type_encoded
2012,4,13,33,29,1
2011,3,7,37,6,1
2007,5,2,35,21,0
2021,7,30,48,29,0
2008,6,16,1,0,0
2022,5,20,53,18,1
2024,2,19,7,11,0
2010,7,16,53,18,0
2020,9,14,17,14,1
2012,7,9,50,29,0
2021,2,10,8,22,0
2015,4,15,41,4,0
2018,8,17,24,1,0
2015,8,31,40,27,0
2009,2,9,53,18,0
2008,6,30,55,31,0
2008,7,14,51,8,0
2010,8,18,0,12,0
2014,5,9,21,2,0
2023,7,21,15,8,0
2021,6,18,34,20,1
2022,10,10,53,18,0
2021,5,17,50,29,1
2014,3,28,22,11,0
2018,5,11,28,25,1
2022,12,23,23,27,1
2017,8,4,51,8,1
2022,6,22,4,5,0
2012,12,12,16,9,1
2023,3,29,25,18,0
2013,2,6,8,22,0
2023,11,15,2,3,1
2022,12,21,5,25,0
2007,12,24,22,11,0
2009,9,30,42,17,1
2008,12,19,42,17,0
2014,7,4,13,16,0
2023,2,24,4,5,0
2015,7,8,0,12,1
2008,9,3,1,0,0
2020,3,9,8,22,0
2016,10,31,39,25,0
2010,5,14,44,28,0
2009,2,9,5,25,1
2013,6,5,49,26,0
2023,11,17,37,6,0
2009,5,27,38,23,1
2021,4,19,13,16,1
2016,6,15,28,25,1
2007,1,20,25,18,0
2010,5,12,50,29,0
2013,1,11,15,8,0
2019,7,22,19,25,1
2016,12,30,20,11,1
2014,11,14,19,25,0
2010,3,1,41,4,0
2007,9,3,6,27,0
2013,1,14,32,6,1
2015,8,14,6,27,1
2015,4,20,25,18,0
2022,1,21,50,29,0
2010,10,1,37,6,0
2012,1,27,40,27,1
2020,7,3,15,8,0
2023,12,18,30,19,0
2018,3,2,18,9,0
2016,8,26,11,29,0
2022,2,21,55,31,1
2019,7,3,4,5,0
2016,7,8,4,5,0
2022,4,4,21,2,0
2018,4,27,6,27,0
2011,8,22,53,18,1
2010,1,29,40,27,1
2016,12,26,40,27,1
2014,8,13,41,4,0
2024,1,31,49,26,1
2023,1,16,9,5,1
2021,1,4,31,13,0
2015,5,8,48,29,1
2009,2,9,19,25,0
2009,2,25,32,6,1
2007,1,25,53,18,1
2011,7,15,23,27,0
2007,1,15,29,27,1
2019,5,8,36,27,0
2017,10,9,50,29,0
2020,9,18,37,6,1
2010,3,8,21,2,0
2016,6,10,49,26,0
2013,5,13,23,27,0
2008,10,24,3,22,1
2010,4,30,50,29,1
2023,7,14,52,14,0
2012,8,31,16,9,1
2016,8,10,5,25,1
2008,8,20,29,27,1
2016,5,30,13,16,0
2023,12,1,44,28,1
2015,10,26,23,27,1
2012,11,26,43,1,0
2011,2,18,31,13,1
2020,7,17,21,2,1
2013,4,3,52,14,0
2016,4,22,2,3,0
2012,6,22,4,5,0
2008,7,11,34,20,0
2013,1,14,51,8,0
2007,3,22,42,17,0
2014,10,29,38,23,0
2018,5,21,23,27,0
2019,4,17,29,27,1
2007,11,20,37,6,0
2018,9,7,35,21,1
2008,12,12,12,7,0
2015,1,16,11,29,1
2015,6,3,43,1,1
2011,10,31,16,9,1
2023,9,8,52,14,1
2014,7,14,31,13,0
2010,1,27,15,8,0
2016,2,5,22,11,1
2008,2,29,0,12,0
2023,2,1,8,22,0
2008,12,10,41,4,1
2022,1,31,32,6,1
2007,6,21,11,29,0
2016,11,11,39,25,1
2010,5,19,1,0,0
2013,7,29,8,22,1
2011,8,22,1,0,0
2012,1,23,44,28,1
2022,8,22,50,29,0
2020,8,17,41,4,0
2013,9,18,13,16,1
2010,11,5,4,5,1
2016,6,29,20,11,1
2019,1,28,54,20,1
2014,7,25,9,5,0
2014,6,13,43,1,0
2023,5,26,51,8,1
2017,10,20,45,10,0
2011,4,15,5,25,0
2021,9,6,46,6,0
2007,7,23,36,27,0
2021,4,23,52,14,0
2014,8,8,12,7,1
2019,9,27,11,29,1
2008,9,10,48,29,1
2015,5,27,30,19,0
2012,1,4,20,11,1
2018,3,28,26,15,1
2022,3,16,6,27,0
2013,1,23,41,4,0
2019,2,8,10,12,0
2021,9,13,18,9,0
2012,3,2,16,9,0
2017,4,17,26,15,1
2018,9,12,52,14,0
2008,5,14,42,17,1
2010,9,8,54,20,1
2021,5,28,23,27,1
2019,9,20,23,27,0
2022,1,26,23,27,0
2023,10,16,32,6,0
2022,5,11,52,14,0
2017,8,4,37,6,0
2007,4,30,0,12,0
2019,11,1,26,15,1
2007,7,30,30,19,0
2018,8,3,37,6,1
2017,11,27,50,29,1
2018,4,11,11,29,1
2017,7,14,35,21,0
2017,6,19,0,12,0
2020,10,14,8,22,1
2015,3,25,22,11,1
2011,7,27,34,20,0
2022,7,22,49,26,0
2023,2,15,44,28,0
2018,5,25,44,28,0
2011,10,28,52,14,1
2008,9,26,6,27,1
2022,12,30,8,22,1
2023,11,3,42,17,0
2011,5,27,44,28,1
2019,5,15,37,6,0
2007,1,19,38,23,1
2023,1,18,42,17,0
2016,9,30,5,25,0
2020,5,8,41,4,1
2013,12,11,52,14,0
2024,1,17,1,0,0
2018,6,18,18,9,1
2014,6,6,39,25,0
2015,8,14,4,5,0
2011,8,1,53,18,0
2014,7,2,20,11,1
2011,1,17,2,3,0
2012,1,2,32,6,0
2020,7,29,43,1,0
2019,8,19,21,2,1
2020,11,30,28,25,1
2012,3,23,10,12,1
2020,1,6,15,8,0
2012,1,2,18,9,0
2016,1,22,6,27,1
2016,2,10,40,27,0
2012,2,10,45,10,1
2007,2,27,42,17,1
2013,1,11,34,20,1
2020,3,27,35,21,0
2014,8,15,54,20,1
2023,4,17,35,21,1
2020,8,21,14,24,1
2021,12,13,45,10,1
2012,5,14,32,6,1
2019,8,30,52,14,1
2008,5,23,27,30,0
2008,3,3,8,22,0
2013,8,2,39,25,1
2010,1,29,49,26,1
2010,7,30,54,20,0
2015,1,26,41,4,0
2022,3,4,18,9,1
2019,9,6,55,31,0
2009,9,7,0,12,1
2018,3,26,30,19,1
